fir_id,district_id,station_id,crime_head,crime_category,ipc_bns_sections,crime_date,crime_time,registration_date,registration_time,latitude,longitude,description,District_Name,District_Population,Station_Name,Station_Type,Station_Jurisdiction_Area,Victim_Count,First_Victim_Name,First_Victim_Gender,First_Victim_Age,Any_Fatal_Injury,Accused_Count,First_Accused_Name,First_Accused_Gender,First_Accused_Age,Any_Absconding,Any_Previous_Record,Witness_Count,Any_High_Reliability_Witness,Primary_Vehicle_Category,Total_Vehicle_Value_INR,Weapon_Count,Primary_Weapon_Type,Any_Unlicensed_Weapon,Cyber_Attack_Vector,Cyber_Target_System,Cyber_Financial_Loss_INR,Cyber_Flag,Economic_Fraud_Type,Economic_Amount_Involved_INR,Economic_Affected_Entity_Type,Evidence_Count,FSL_Sent_Count,Investigation_Actions_Count,Last_Action_Date,First_Action_Date,Investigation_Status,Investigation_Days,Has_ChargeSheet,Court_Name,ChargeSheet_Total_Accused,ChargeSheet_Filing_Date,Has_Judgment,Judgment_Result,Sentence_Details,Sentence_Years,Life_Sentence_Flag,Fine_Amount_INR,Judgment_Date,Court_Type,ChargeSheet_Days,Weapon_Used_Flag,crime_year,crime_month,crime_dayofweek,crime_is_weekend,crime_time_of_day,reporting_delay_days,investigation_duration_days,chargesheet_duration_days,victim_age_group,accused_age_group,description_word_count,description_char_count
FIR-2024-BLR-000001,DIST-000001,PS-000073,Murder,IPC,IPC 302,2024-01-19,07:19:01,2024-01-20,13:56:57,67.6962895,38.251593,Incident reported at Swamy Crime Police Station regarding Murder. Recusandae incidunt totam animi impedit. Quos ipsa saepe cum ea impedit voluptatibus. Quis libero nobis velit adipisci voluptates placeat. Incidunt saepe possimus ullam illo.,Bengaluru City,13608000,Swamy Crime Police Station,Crime,Swamy and surrounding areas,1,Anand Rao,Male,53,True,2,Praveen Shenoy,Male,35,True,False,6,True,Two-Wheeler,80000.0,2,12 Bore DBBL Gun,False,UPI Payment Fraud,Corporate Cloud Server,17500.0,False,Embezzlement / Misappropriation,300000.0,Government Department,3,2,3,2024-01-29,2024-01-22,COMPLETED,7,True,"Principal District & Sessions Court, DIST-000001",2.0,2024-02-20,True,Pending Trial,Pending,-1.0,False,0.0,2024-03-21,Chief Judicial Magistrate Court,31.0,True,2024,1,Friday,False,Morning,1,7,31.0,50-64,25-34,33,240
FIR-2024-BLR-000002,DIST-000001,PS-000032,Murder,IPC,IPC 302,2024-12-23,11:09:44,2024-12-31,07:18:06,60.174357,102.356277,Incident reported at Bengaluru City Cyber Crime (CEN) regarding Murder. Nostrum ab distinctio nostrum nulla ipsa delectus. Magni quos unde explicabo consequatur vel placeat. Atque ad eos alias odit atque voluptas. Eum autem architecto voluptatum corporis consectetur.,Bengaluru City,13608000,Bengaluru City Cyber Crime (CEN),Cyber Crime (CEN),Ram and surrounding areas,1,Venkatesh Patil,Male,57,True,4,Venkatesh Gowda,Male,26,False,True,5,True,Two-Wheeler,95000.0,1,Machete (Long Blade),False,Ransomware / Malware,ATM / PoS Terminal,30000.0,False,Money Laundering,550000.0,Private Corporation,3,2,1,2024-12-31,2024-12-31,IN_PROGRESS,0,True,"Principal District & Sessions Court, DIST-000001",4.0,2024-12-28,True,Pending Trial,Pending,-1.0,False,0.0,2025-01-27,Judicial Magistrate First Class (JMFC),-3.0,True,2024,12,Monday,False,Morning,8,0,-3.0,50-64,25-34,37,267
FIR-2024-BLR-000003,DIST-000001,PS-000037,Murder,IPC,IPC 302,2024-01-27,20:55:30,2024-01-27,03:11:49,26.6382455,161.360581,Incident reported at Bhatti Law & Order Police Station regarding Murder. Ratione repellat nemo quisquam magni tenetur rerum. Dignissimos veritatis ducimus delectus. Nobis amet animi unde. Repellendus ex natus eveniet sit maiores eveniet. Quis optio error aut debitis accusamus illum.,Bengaluru City,13608000,Bhatti Law & Order Police Station,Law & Order,Bhatti and surrounding areas,1,Radha Kamat,Female,39,True,1,Kumar Prabhu,Male,18,False,False,7,True,Two-Wheeler,110000.0,2,Switchblade / Dagger,False,Identity Theft,E-Commerce Payment Gateway,42500.0,False,Chit Fund Scam,800000.0,Government Department,2,2,2,2024-01-30,2024-01-28,COMPLETED,2,True,"Principal District & Sessions Court, DIST-000001",1.0,2024-02-29,True,Pending Trial,Pending,-1.0,False,0.0,2024-03-30,Principal District & Sessions Court,33.0,True,2024,1,Saturday,True,Evening,0,2,33.0,35-49,<18,40,283
FIR-2024-BLR-000004,DIST-000001,PS-000061,Murder,IPC,IPC 302,2024-05-04,07:22:45,2024-05-04,11:51:44,-25.9829435,-156.310728,Incident reported at Taneja Law & Order Police Station regarding Murder. Quia sequi delectus est iusto tempore. Officiis magni iste numquam. Nobis officia tempore velit saepe mollitia dolores. Repudiandae cumque ad nam. Perspiciatis itaque corrupti dolorum.,Bengaluru City,13608000,Taneja Law & Order Police Station,Law & Order,Taneja and surrounding areas,1,Manjunatha Hiremath,Male,40,True,1,Mahesh Hiremath,Male,34,False,True,7,True,Four-Wheeler,710000.0,1,Iron Rod / Crowbar,False,SIM Swapping,Social Media Profile,55000.0,False,Real Estate Fraud,1050000.0,Private Corporation,3,2,3,2024-05-16,2024-05-07,COMPLETED,9,False,Not Applicable,-1.0,,False,Not Applicable,Not Applicable,-1.0,Not Applicable,-1.0,,Not Applicable,-1.0,True,2024,5,Saturday,True,Morning,0,9,,35-49,25-34,36,257
FIR-2024-BLR-000005,DIST-000001,PS-000023,Murder,IPC,IPC 302,2024-07-02,05:14:59,2024-07-09,09:08:46,-60.558796,-8.230083,Incident reported at Bahl Law & Order Police Station regarding Murder. Est ipsa quam. Enim maiores vitae soluta id maxime eos optio. Similique fugiat quam. Maxime quis rem eligendi. Vitae aliquam distinctio.,Bengaluru City,13608000,Bahl Law & Order Police Station,Law & Order,Bahl and surrounding areas,1,Shilpa Muralidhar,Female,64,True,1,Puneeth Shenoy,Male,42,False,False,5,True,Four-Wheeler,725000.0,2,Wooden Lathi / Club,False,Unauthorized Access / Hacking,Personal Email Account,67500.0,False,Bank Loan Fraud,1300000.0,Government Department,3,2,1,2024-07-10,2024-07-10,IN_PROGRESS,0,False,Not Applicable,-1.0,,False,Not Applicable,Not Applicable,-1.0,Not Applicable,-1.0,,Not Applicable,-1.0,True,2024,7,Tuesday,False,Morning,7,0,,50-64,35-49,32,207
FIR-2024-BLR-000006,DIST-000001,PS-000019,Murder,IPC,IPC 302,2024-03-09,12:12:14,2024-03-09,14:02:05,64.5143535,-138.516528,Incident reported at Sachdeva Law & Order Police Station regarding Murder. Laudantium quas molestiae nam ea. Non rerum voluptas cupiditate minima repellendus ullam. Officiis quaerat quo sint quia. Ea iste ut laudantium repellendus perferendis. Dolorem labore quia tenetur reprehenderit rerum. Facilis quod cum earum nam hic.,Bengaluru City,13608000,Sachdeva Law & Order Police Station,Law & Order,Sachdeva and surrounding areas,1,Gowri Angadi,Female,44,True,2,Ramesh Nayak,Male,29,False,True,7,True,Four-Wheeler,740000.0,1,0.32 Calibre Revolver,False,Social Media Impersonation,Cryptocurrency Wallet,80000.0,False,Tax Evasion,1550000.0,Private Corporation,3,2,2,2024-03-14,2024-03-11,COMPLETED,3,False,Not Applicable,-1.0,,False,Not Applicable,Not Applicable,-1.0,Not Applicable,-1.0,,Not Applicable,-1.0,True,2024,3,Saturday,True,Afternoon,0,3,,35-49,25-34,46,324
FIR-2024-BLR-000007,DIST-000001,PS-000016,Murder,IPC,IPC 302,2024-07-12,08:23:43,2024-07-12,12:16:13,-35.707457,126.237386,Incident reported at Ramakrishnan Law & Order Police Station regarding Murder. Provident eius beatae quos minus. Consequuntur iusto sapiente sint praesentium. Voluptatem voluptatem itaque sint. Officiis quo aspernatur et aliquam ad. Dicta optio odio tenetur dolores atque sed dolore. Aliquid officia laudantium.,Bengaluru City,13608000,Ramakrishnan Law & Order Police Station,Law & Order,Ramakrishnan and surrounding areas,1,Ravi Gowda,Male,59,True,4,Manjunatha Prabhu,Male,34,True,True,8,True,Four-Wheeler,755000.0,2,12 Bore DBBL Gun,False,Investment / Crypto Scam,Mobile Banking Application,92500.0,False,Insider Trading,1800000.0,Government Department,2,2,3,2024-07-22,2024-07-16,COMPLETED,6,False,Not Applicable,-1.0,,False,Not Applicable,Not Applicable,-1.0,Not Applicable,-1.0,,Not Applicable,-1.0,True,2024,7,Friday,False,Morning,0,6,,50-64,25-34,42,311
FIR-2024-BLR-000008,DIST-000001,PS-000039,Murder,IPC,IPC 302,2024-09-21,09:01:14,2024-09-21,19:00:40,-56.023846,-56.991628,Incident reported at Dora Traffic Police Station regarding Murder. Repudiandae distinctio dolorum. Cupiditate velit est maxime illum. Dolorum dicta voluptatibus adipisci. Reiciendis id voluptatum maiores ipsa iure voluptatibus.,Bengaluru City,13608000,Dora Traffic Police Station,Traffic,Dora and surrounding areas,1,Santosh Moger,Male,59,True,4,Siddaramaiah Reddy,Male,28,False,False,7,True,Auto-Rickshaw,240000.0,1,Machete (Long Blade),False,Phishing / Vishing,Corporate Cloud Server,105000.0,False,Corporate Fraud,2050000.0,Private Corporation,2,2,1,2024-09-23,2024-09-23,IN_PROGRESS,0,False,Not Applicable,-1.0,,False,Not Applicable,Not Applicable,-1.0,Not Applicable,-1.0,,Not Applicable,-1.0,True,2024,9,Saturday,True,Morning,0,0,,50-64,25-34,28,227
FIR-2024-BLR-000009,DIST-000001,PS-000072,Murder,IPC,IPC 302,2024-02-02,13:16:33,2024-02-02,02:19:05,-4.4781185,-143.372061,Incident reported at Shukla Crime Police Station regarding Murder. Qui eum voluptatum voluptas. Aut quo eos. Consequatur adipisci esse soluta quibusdam est ipsum. Aliquam beatae vero tempora provident. Doloribus hic quos. Molestias fuga aut dolor.,Bengaluru City,13608000,Shukla Crime Police Station,Crime,Shukla and surrounding areas,1,Sunitha Acharya,Female,49,True,1,Nagaraj Pawar,Male,32,False,False,8,True,Commercial / LCV,785000.0,2,Switchblade / Dagger,False,UPI Payment Fraud,ATM / PoS Terminal,117500.0,False,Embezzlement / Misappropriation,2300000.0,Government Department,2,2,2,2024-02-09,2024-02-05,COMPLETED,4,False,Not Applicable,-1.0,,False,Not Applicable,Not Applicable,-1.0,Not Applicable,-1.0,,Not Applicable,-1.0,True,2024,2,Friday,False,Afternoon,0,4,,35-49,25-34,35,247
FIR-2024-BLR-000010,DIST-000001,PS-000019,Murder,IPC,IPC 302,2024-09-04,17:00:09,2024-09-11,10:27:11,-69.203706,150.74038,Incident reported at Sachdeva Law & Order Police Station regarding Murder. Odio illo hic numquam. Expedita culpa omnis hic nemo omnis natus. Et modi veniam dignissimos. Quae harum ea repudiandae reiciendis officia. Molestiae doloribus ratione a reiciendis reiciendis repudiandae.,Bengaluru City,13608000,Sachdeva Law & Order Police Station,Law & Order,Sachdeva and surrounding areas,1,Darshan Joshi,Male,43,True,1,Venkatesh Moger,Male,34,True,False,7,True,Two-Wheeler,215000.0,2,Iron Rod / Crowbar,False,Ransomware / Malware,E-Commerce Payment Gateway,130000.0,False,Money Laundering,2550000.0,Private Corporation,3,2,3,2024-09-19,2024-09-16,COMPLETED,3,True,"Principal District & Sessions Court, DIST-000001",1.0,2024-10-15,True,Pending Trial,Pending,-1.0,False,0.0,2024-11-14,Chief Judicial Magistrate Court,34.0,True,2024,9,Wednesday,False,Evening,7,3,34.0,35-49,25-34,39,279
